slug,nom,categorie,slot,set,rarete,stat_principale,val_principale,stat_secondaire_1,val_secondaire_1,stat_secondaire_2,val_secondaire_2,stats_aleatoires,set_nom,set_pieces,set_bonus,image_url,page_url
immortal-watcher-belt,Immortal Watcher Belt,Armor,Belt,The Watcher,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets The Watcher,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/immortal-watcher-belt/
immortal-watcher-bottoms,Immortal Watcher Bottoms,Armor,Bottom,The Watcher,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets The Watcher,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/immortal-watcher-bottoms/
immortal-watcher-combat-boots,Immortal Watcher Combat Boots,Armor,Shoes,The Watcher,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets The Watcher,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/immortal-watcher-combat-boots/
immortal-watcher-top,Immortal Watcher Top,Armor,Chest,The Watcher,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets The Watcher,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/immortal-watcher-top/
jet-black-crystal-belt,Jet-black Crystal Belt,Armor,Belt,Deadly Fragment,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Deadly Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_4036.png?class=iconmd,https://zeroluck.gg/7dso/gear/jet-black-crystal-belt/
jet-black-crystal-bottoms,Jet-black Crystal Bottoms,Armor,Bottom,Deadly Fragment,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Deadly Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_4036.png?class=iconmd,https://zeroluck.gg/7dso/gear/jet-black-crystal-bottoms/
jet-black-crystal-combat-boots,Jet-black Crystal Combat Boots,Armor,Shoes,Deadly Fragment,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Deadly Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_4036.png?class=iconmd,https://zeroluck.gg/7dso/gear/jet-black-crystal-combat-boots/
jet-black-crystal-top,Jet-black Crystal Top,Armor,Chest,Deadly Fragment,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Deadly Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_4036.png?class=iconmd,https://zeroluck.gg/7dso/gear/jet-black-crystal-top/
life-crystal-belt,Life Crystal Belt,Armor,Belt,Cries of Souls,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_4039.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-belt/
life-crystal-bottoms,Life Crystal Bottoms,Armor,Bottom,Cries of Souls,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_4039.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-bottoms/
life-crystal-combat-boots,Life Crystal Combat Boots,Armor,Shoes,Cries of Souls,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_4039.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-combat-boots/
life-crystal-earrings,Life Crystal Earrings,Accessory,Earring,Cries of Souls,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_4021.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-earrings/
life-crystal-necklace,Life Crystal Necklace,Accessory,Necklace,Cries of Souls,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_4021.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-necklace/
life-crystal-ring,Life Crystal Ring,Accessory,Ring,Cries of Souls,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_4021.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-ring/
life-crystal-top,Life Crystal Top,Armor,Chest,Cries of Souls,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,Upgrade Comments Sets Sets Cries of Souls,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_4039.png?class=iconmd,https://zeroluck.gg/7dso/gear/life-crystal-top/
revived-nightmare-belt,Revived Nightmare Belt,Armor,Belt,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_4028.png?class=iconmd,https://zeroluck.gg/7dso/gear/revived-nightmare-belt/
revived-nightmare-bottoms,Revived Nightmare Bottoms,Armor,Bottom,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_4028.png?class=iconmd,https://zeroluck.gg/7dso/gear/revived-nightmare-bottoms/
revived-nightmare-combat-boots,Revived Nightmare Combat Boots,Armor,Shoes,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_4028.png?class=iconmd,https://zeroluck.gg/7dso/gear/revived-nightmare-combat-boots/
revived-nightmare-top,Revived Nightmare Top,Armor,Chest,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_4028.png?class=iconmd,https://zeroluck.gg/7dso/gear/revived-nightmare-top/
shadowstorm-craftwork-necklace,Shadowstorm Craftwork Necklace,Accessory,Necklace,,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/shadowstorm-craftwork-necklace/
silent-watcher-bottoms,Silent Watcher Bottoms,Armor,Bottom,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/silent-watcher-bottoms/
star-guardian-belt,Star Guardian Belt,Armor,Belt,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_4022.png?class=iconmd,https://zeroluck.gg/7dso/gear/star-guardian-belt/
star-guardian-bottoms,Star Guardian Bottoms,Armor,Bottom,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_4022.png?class=iconmd,https://zeroluck.gg/7dso/gear/star-guardian-bottoms/
star-guardian-combat-boots,Star Guardian Combat Boots,Armor,Shoes,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_4022.png?class=iconmd,https://zeroluck.gg/7dso/gear/star-guardian-combat-boots/
star-guardian-top,Star Guardian Top,Armor,Chest,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_4022.png?class=iconmd,https://zeroluck.gg/7dso/gear/star-guardian-top/
twisted-might-bottoms,Twisted Might Bottoms,Armor,Bottom,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/twisted-might-bottoms/
twisted-thought-earrings,Twisted Thought Earrings,Accessory,Earring,Lavender Shadow,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Lavender Shadow,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/twisted-thought-earrings/
twisted-thought-necklace,Twisted Thought Necklace,Accessory,Necklace,Lavender Shadow,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Lavender Shadow,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/twisted-thought-necklace/
twisted-thought-ring,Twisted Thought Ring,Accessory,Ring,Lavender Shadow,SSR,,,,,,,50 Accessory Fragment 100% Amount: 30-50,Sets Sets Lavender Shadow,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_4018.png?class=iconmd,https://zeroluck.gg/7dso/gear/twisted-thought-ring/
tyrant-dragon-s-black-heart-top,Tyrant Dragon's Black Heart Top,Armor,Chest,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/tyrant-dragon-s-black-heart-top/
venom-spindle-combat-boots,Venom Spindle Combat Boots,Armor,Shoes,,SSR,,,,,,,50 Metal Fragment 100% Amount: 30-50,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_5001.png?class=iconmd,https://zeroluck.gg/7dso/gear/venom-spindle-combat-boots/
fiery-essence-belt-finest,Fiery Essence Belt (Finest),Armor,Belt,Burning Heart,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-belt-finest/
fiery-essence-bottoms-finest,Fiery Essence Bottoms (Finest),Armor,Bottom,Burning Heart,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-bottoms-finest/
fiery-essence-combat-boots-finest,Fiery Essence Combat Boots (Finest),Armor,Shoes,Burning Heart,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-combat-boots-finest/
fiery-essence-top-finest,Fiery Essence Top (Finest),Armor,Chest,Burning Heart,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Burning Heart,4,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_3006.png?class=iconmd,https://zeroluck.gg/7dso/gear/fiery-essence-top-finest/
gentle-breeze-earrings-finest,Gentle Breeze Earrings (Finest),Accessory,Earring,Scattered Petals,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-earrings-finest/
gentle-breeze-necklace-finest,Gentle Breeze Necklace (Finest),Accessory,Necklace,Scattered Petals,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-necklace-finest/
gentle-breeze-ring-finest,Gentle Breeze Ring (Finest),Accessory,Ring,Scattered Petals,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Scattered Petals,3,3,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3010.png?class=iconmd,https://zeroluck.gg/7dso/gear/gentle-breeze-ring-finest/
mad-miner-belt,Mad Miner Belt,Armor,Belt,Remnants of the Abandoned Mine,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Plate_4037.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-belt/
mad-miner-bottoms,Mad Miner Bottoms,Armor,Bottom,Remnants of the Abandoned Mine,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Plate_4037.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-bottoms/
mad-miner-combat-boots,Mad Miner Combat Boots,Armor,Shoes,Remnants of the Abandoned Mine,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Plate_4037.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-combat-boots/
mad-miner-earrings,Mad Miner Earrings,Accessory,Earring,Remnants of the Abandoned Mine,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_4019.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-earrings/
mad-miner-necklace,Mad Miner Necklace,Accessory,Necklace,Remnants of the Abandoned Mine,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_4019.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-necklace/
mad-miner-ring,Mad Miner Ring,Accessory,Ring,Remnants of the Abandoned Mine,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_4019.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-ring/
mad-miner-top,Mad Miner Top,Armor,Chest,Remnants of the Abandoned Mine,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Remnants of the Abandoned Mine,7,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Plate_4037.png?class=iconmd,https://zeroluck.gg/7dso/gear/mad-miner-top/
noble-hero-s-belt-finest,Noble Hero's Belt (Finest),Armor,Belt,,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-belt-finest/
noble-hero-s-bottoms-finest,Noble Hero's Bottoms (Finest),Armor,Bottom,,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-bottoms-finest/
noble-hero-s-combat-boots-finest,Noble Hero's Combat Boots (Finest),Armor,Shoes,,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-combat-boots-finest/
noble-hero-s-earrings-finest,Noble Hero's Earrings (Finest),Accessory,Earring,,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Earring_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-earrings-finest/
noble-hero-s-necklace-finest,Noble Hero's Necklace (Finest),Accessory,Necklace,,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Necklace_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-necklace-finest/
noble-hero-s-ring-finest,Noble Hero's Ring (Finest),Accessory,Ring,,SR,,,,,,,20 Accessory Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Acc/Ring_Default_3019.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-ring-finest/
noble-hero-s-top-finest,Noble Hero's Top (Finest),Armor,Chest,,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,,,,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Cloth_3020.png?class=iconmd,https://zeroluck.gg/7dso/gear/noble-hero-s-top-finest/
ruler-of-the-ocean-belt,Ruler of the Ocean Belt,Armor,Belt,Sharp Fragment,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Sharp Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Belt_Leather_4012.png?class=iconmd,https://zeroluck.gg/7dso/gear/ruler-of-the-ocean-belt/
ruler-of-the-ocean-bottoms,Ruler of the Ocean Bottoms,Armor,Bottom,Sharp Fragment,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Sharp Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Bottom_Leather_4012.png?class=iconmd,https://zeroluck.gg/7dso/gear/ruler-of-the-ocean-bottoms/
ruler-of-the-ocean-combat-boots,Ruler of the Ocean Combat Boots,Armor,Shoes,Sharp Fragment,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Sharp Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Shoes_Leather_4012.png?class=iconmd,https://zeroluck.gg/7dso/gear/ruler-of-the-ocean-combat-boots/
ruler-of-the-ocean-top,Ruler of the Ocean Top,Armor,Chest,Sharp Fragment,SR,,,,,,,20 Metal Fragment 100% Amount: 12-20,Upgrade Comments Sets Sets Sharp Fragment,4,2,https://cdn-zeroluck-gg.b-cdn.net/7dso/SevenDeadlySins/Assets/Content/UIImg/Icon_Item/Armor/Top_Leather_4012.png?class=iconmd,https://zeroluck.gg/7dso/gear/ruler-of-the-ocean-top/
